version,treatment_state,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper,n_obs
A,NJ,2.8099429306087718,1.2931074053042515,2.173015883353965,0.029779121863585653,0.2754989880704004,5.344386873147143,788
B,PA,2.8099429306087718,1.2931074053042515,2.173015883353965,0.029779121863585653,0.2754989880704004,5.344386873147143,788
C,PA,2.8099429306087718,1.2931074053042515,2.173015883353965,0.029779121863585653,0.2754989880704004,5.344386873147143,788
D,Maharashtra,8.525640878614581,3.8774600691632,2.198769484802073,0.027894317334761377,0.9259587915625218,16.12532296566664,788
E,NJ (data) vs PA (prompt),2.8099429306087718,1.2931074053042515,2.173015883353965,0.029779121863585653,0.2754989880704004,5.344386873147143,788
